time,phase_from_reg,phase_for_plbck,plbck_pos
1572374390.165512, 145.646361, 134.483789, 134.483789
1572374390.245645, 146.380806, 135.218233, 135.218233
1572374390.305380, 147.129234, 135.966662, 135.966662
1572374390.369527, 147.827588, 136.665015, 136.665015
1572374390.458265, 148.922620, 137.760048, 137.760048
1572374390.534020, 149.724314, 138.561742, 138.561742
1572374390.611821, 150.368294, 139.205722, 139.205722
1572374390.693737, 151.186694, 140.024122, 140.024122
1572374390.819247, 152.304536, 141.141964, 141.141964
1572374390.845308, 152.304536, 141.141964, 141.141964
1572374390.910647, 152.956671, 141.794099, 141.794099
1572374390.995989, 153.545683, 142.383111, 142.383111
1572374391.075257, 154.137162, 142.974590, 142.974590
1572374391.127836, 155.111916, 143.949343, 143.949343
1572374391.200940, 155.527701, 144.365129, 144.365129
1572374391.269372, 155.793698, 144.631126, 144.631126
1572374391.343273, 155.793698, 144.631126, 144.631126
1572374391.431951, 155.793698, 144.631126, 144.631126
1572374391.489167, 156.232136, 145.069564, 145.069564
1572374391.567708, 156.656148, 145.493576, 145.493576
1572374391.629776, 157.178109, 146.015537, 146.015537
1572374391.742326, 157.712106, 146.549533, 146.549533
1572374391.794694, 158.126371, 146.963798, 146.963798
1572374391.845420, 158.717095, 147.554523, 147.554523
1572374391.921995, 159.328279, 148.165707, 148.165707
1572374391.996570, 159.937967, 148.775395, 148.775395
1572374392.077103, 160.324888, 149.162316, 149.162316
1572374392.141205, 160.557503, 149.394930, 149.394930
1572374392.214713, 161.144468, 149.981896, 149.981896
1572374392.284361, 162.259993, 151.097421, 151.097421
1572374392.417453, 163.113150, 151.950578, 151.950578
1572374392.422581, 164.400853, 153.238281, 153.238281
1572374392.490268, 165.199352, 154.036779, 154.036779
1572374392.562645, 165.951581, 154.789009, 154.789009
1572374392.644008, 166.499782, 155.337210, 155.337210
1572374392.746567, 166.930352, 155.767780, 155.767780
1572374392.832809, 167.797941, 156.635369, 156.635369
1572374392.962007, 168.686507, 157.523935, 157.523935
1572374393.029977, 169.347345, 158.184772, 158.184772
1572374393.109112, 170.339681, 159.177109, 159.177109
1572374393.177201, 171.296804, 160.134232, 160.134232
1572374393.243386, 172.254867, 161.092294, 161.092294
1572374393.318320, 173.261535, 162.098963, 162.098963
1572374393.386211, 174.203411, 163.040839, 163.040839
1572374393.478199, 175.133844, 163.971271, 163.971271
1572374393.521054, 176.373572, 165.211000, 165.211000
1572374393.590653, 177.389018, 166.226446, 166.226446
1572374393.665389, 178.045059, 166.882487, 166.882487
1572374393.739175, 178.677473, 167.514901, 167.514901
1572374393.836313, 179.252553, 168.089981, 168.089981
1572374393.879992, 179.869730, 168.707158, 168.707158
1572374393.956739, 180.526675, 169.364103, 169.364103
1572374394.020954, 181.145748, 169.983175, 169.983175
1572374394.096701, 181.721748, 170.559176, 170.559176
1572374394.192113, 182.364551, 171.201978, 171.201978
1572374394.267086, 183.255441, 172.092868, 172.092868
1572374394.339501, 183.728745, 172.566173, 172.566173
1572374394.380643, 184.085524, 172.922952, 172.922952
1572374394.707987, 184.539710, 173.377138, 173.377138
1572374394.728572, 184.950842, 173.788270, 173.788270
1572374394.728656, 185.337687, 174.175115, 174.175115
1572374394.728705, 185.510442, 174.347870, 174.347870
1572374394.764306, 186.149347, 174.986775, 174.986775
1572374394.849868, 186.799692, 175.637119, 175.637119
1572374394.909781, 187.723356, 176.560783, 176.560783
1572374394.976592, 188.712011, 177.549439, 177.549439
1572374395.043397, 189.652292, 178.489720, 178.489720
1572374395.276312, 190.436094, 179.273522, 179.273522
1572374395.291226, 191.211850, 180.049278, 180.049278
1572374395.298111, 191.963369, 180.800797, 180.800797
1572374395.343025, 192.793964, 181.631392, 181.631392
1572374395.403951, 193.569182, 182.406610, 182.406610
1572374395.474090, 194.294412, 183.131840, 183.131840
1572374395.539277, 195.257444, 184.094872, 184.094872
1572374395.608621, 196.109904, 184.947332, 184.947332
1572374395.673786, 196.820523, 185.657951, 185.657951
1572374395.746643, 197.536112, 186.373540, 186.373540
1572374395.815275, 198.214144, 187.051572, 187.051572
1572374395.900082, 198.839118, 187.676546, 187.676546
1572374395.962293, 199.347264, 188.184692, 188.184692
1572374396.041860, 199.922208, 188.759636, 188.759636
1572374396.111853, 200.330817, 189.168245, 189.168245
1572374396.185423, 200.833432, 189.670860, 189.670860
1572374396.254016, 201.256824, 190.094252, 190.094252
1572374396.327706, 201.679437, 190.516864, 190.516864
1572374396.401264, 201.970290, 190.807718, 190.807718
1572374396.500936, 202.485627, 191.323055, 191.323055
1572374396.551907, 203.006424, 191.843852, 191.843852
1572374396.665884, 203.565493, 192.402921, 192.402921
1572374396.713545, 203.989426, 192.826854, 192.826854
1572374396.771534, 204.856338, 193.693766, 193.693766
1572374396.851799, 205.204673, 194.042101, 194.042101
1572374396.912322, 205.619533, 194.456961, 194.456961
1572374396.985881, 206.152823, 194.990250, 194.990250
1572374397.055957, 206.694067, 195.531495, 195.531495
1572374397.126925, 207.143832, 195.981260, 195.981260
1572374397.204678, 207.641306, 196.478734, 196.478734
1572374397.268066, 207.754860, 196.592287, 196.592287
1572374397.361756, 208.160766, 196.998194, 196.998194
1572374397.448633, 208.654672, 197.492100, 197.492100
1572374397.517084, 209.489565, 198.326993, 198.326993
1572374397.585009, 210.292578, 199.130006, 199.130006
1572374397.659311, 211.441041, 200.278469, 200.278469
1572374397.813962, 212.621254, 201.458681, 201.458681
1572374397.899214, 213.648617, 202.486044, 202.486044
1572374397.964936, 214.939014, 203.776441, 203.776441
1572374398.035982, 215.696151, 204.533579, 204.533579
1572374398.127389, 216.464214, 205.301641, 205.301641
1572374398.202632, 217.203525, 206.040953, 206.040953
1572374398.270818, 218.578342, 207.415770, 207.415770
1572374398.400798, 219.692561, 208.529988, 208.529988
1572374398.423422, 221.189624, 210.027051, 210.027051
1572374398.501462, 222.135467, 210.972895, 210.972895
1572374398.562937, 223.039229, 211.876656, 211.876656
1572374398.643144, 223.823885, 212.661313, 212.661313
1572374398.704522, 224.635259, 213.472687, 213.472687
1572374398.779698, 225.367924, 214.205352, 214.205352
1572374398.891121, 226.186431, 215.023859, 215.023859
1572374398.950749, 227.164592, 216.002020, 216.002020
1572374399.051251, 227.849257, 216.686685, 216.686685
1572374399.086405, 228.598133, 217.435561, 217.435561
1572374399.155754, 229.302774, 218.140202, 218.140202
1572374399.227508, 229.994627, 218.832054, 218.832054
1572374399.299849, 230.775630, 219.613058, 219.613058
