time, phase
1551267879.671326, 0
1551267879.737892, 1
1551267879.837328, 2
1551267879.937998, 3
1551267879.999429, 0
1551267880.060479, 1
1551267880.152202, 2
1551267880.214596, 3
1551267880.267096, 0
1551267880.334515, 1
1551267880.420020, 2
1551267880.604040, 3
1551267880.674956, 0
1551267880.708345, 1
1551267880.752987, 2
1551267880.817490, 3
1551267880.873462, 0
1551267880.938974, 1
1551267881.021488, 2
1551267881.130143, 3
1551267881.255681, 0
1551267881.317061, 1
1551267881.382480, 2
1551267881.451969, 3
1551267881.518161, 0
1551267881.612263, 1
1551267881.678346, 2
1551267881.788990, 3
1551267881.866351, 0
1551267881.928209, 1
1551267882.075519, 2
1551267882.113941, 3
1551267882.148365, 0
1551267882.225066, 1
1551267882.306673, 2
1551267882.396315, 3
1551267882.482044, 0
1551267882.562784, 1
1551267882.635358, 2
1551267882.700512, 3
1551267882.810823, 0
1551267882.868731, 1
1551267882.929358, 2
1551267883.007221, 3
1551267883.086562, 0
1551267883.154656, 1
1551267883.254344, 2
1551267883.343679, 3
1551267883.427480, 0
1551267883.499157, 1
1551267883.593786, 2
1551267883.667726, 3
1551267883.722176, 0
1551267883.793519, 1
1551267883.942646, 2
1551267884.009913, 3
1551267884.114449, 0
1551267884.199069, 1
1551267884.618526, 2
1551267884.721521, 3
1551267884.826505, 0
1551267884.914962, 1
1551267885.035983, 2
1551267885.118236, 3
1551267885.190724, 0
1551267885.255365, 1
1551267885.340160, 2
1551267885.388286, 3
1551267885.443613, 0
1551267885.534971, 1
1551267885.603065, 2
1551267885.680968, 3
1551267885.744119, 0
1551267885.809905, 1
1551267885.901949, 2
1551267886.003008, 3
1551267886.070388, 0
1551267886.172389, 1
1551267886.300509, 2
1551267886.426925, 3
1551267886.526827, 0
1551267886.619414, 1
1551267887.027644, 2
1551267887.431763, 3
1551267887.565590, 0
1551267887.739430, 1
1551267887.859103, 2
1551267887.950701, 3
1551267888.035238, 0
1551267888.095951, 1
1551267888.184335, 2
1551267888.216423, 3
1551267888.245087, 0
1551267888.363937, 1
1551267888.446300, 2
1551267888.549980, 3
1551267888.700887, 0
1551267888.875728, 1
1551267889.227886, 2
1551267889.393887, 3
1551267890.263254, 0
1551267890.317420, 1
1551267890.348548, 2
1551267890.440569, 3
1551267890.706387, 0
1551267890.870016, 1
1551267891.173913, 2
1551267891.291089, 3
1551267891.474404, 0
1551267891.543364, 1
1551267891.735164, 2
1551267891.869058, 3
1551267892.005408, 0
1551267892.213890, 1
1551267892.385873, 2
1551267892.528212, 3
1551267892.700118, 0
1551267892.887560, 1
1551267893.089396, 2
1551267893.289645, 3
1551267893.477297, 0
1551267893.637182, 1
1551267893.749000, 2
1551267893.849436, 3
1551267893.942792, 0
1551267894.075650, 1
1551267894.180861, 2
1551267894.234802, 3
1551267894.285540, 0
1551267894.353566, 1
1551267894.419035, 2
1551267894.526419, 3
1551267894.646048, 0
1551267894.795041, 1
1551267894.972629, 2
1551267895.167035, 3
1551267895.312821, 0
1551267895.467934, 1
1551267895.677996, 2
1551267895.855682, 3
1551267896.000660, 0
1551267896.180226, 1
1551267896.408380, 2
1551267896.639106, 3
1551267896.811334, 0
1551267897.048492, 1
1551267898.282659, 2
1551267899.130150, 3
1551267899.280010, 0
1551267899.469394, 1
1551267899.637564, 2
1551267899.784460, 3
1551267899.925479, 0
1551267900.071752, 1
1551267900.226080, 2
1551267900.376768, 3
1551267900.523339, 0
1551267900.685882, 1
1551267900.997859, 2
1551267901.247090, 3
1551267901.400811, 0
1551267901.675258, 1
1551267901.919014, 2
1551267902.119238, 3
1551267902.382855, 0
1551267902.546822, 1
1551267902.741132, 2
1551267902.990148, 3
1551267903.226394, 0
1551267903.495149, 1
1551267903.664502, 2
1551267903.877304, 3
1551267904.053867, 0
1551267904.385818, 1
1551267904.630823, 2
1551267904.857051, 3
1551267905.039512, 0
1551267905.182498, 1
1551267905.366908, 2
1551267905.623502, 3
1551267905.999633, 0
1551267906.207341, 1
1551267906.373301, 2
1551267906.590824, 3
1551267906.849456, 0
1551267906.992040, 1
1551267907.181938, 2
1551267907.391266, 3
1551267907.535941, 0
1551267907.720801, 1
1551267908.080096, 2
1551267908.283205, 3
1551267908.442586, 0
1551267908.816810, 1
1551267909.042619, 2
1551267909.223853, 3
1551267909.490175, 0
1551267909.693865, 1
1551267910.026270, 2
1551267910.407604, 3
1551267910.549794, 0
1551267910.744752, 1
1551267910.996238, 2
1551267911.186428, 3
1551267911.396781, 0
1551267911.638648, 1
1551267911.823944, 2
1551267912.001336, 3
1551267912.203065, 0
1551267912.401516, 1
1551267912.647122, 2
1551267912.887163, 3
1551267913.042462, 0
1551267913.266964, 1
1551267913.493519, 2
1551267913.741745, 3
1551267913.920220, 0
1551267914.200465, 1
1551267914.465006, 2
1551267914.712153, 3
1551267914.997212, 0
1551267915.281442, 1
1551267915.805787, 2
1551267915.957672, 3
1551267917.336687, 0
1551267917.680115, 1
1551267917.903281, 2
1551267918.160723, 3
1551267918.376795, 0
1551267918.703888, 1
1551267918.915100, 2
1551267919.122881, 3
1551267919.290928, 0
1551267919.484428, 1
1551267919.721810, 2
1551267920.047425, 3
1551267920.234066, 0
1551267920.496642, 1
1551267920.758434, 2
1551267921.025538, 3
1551267921.199260, 0
1551267921.311593, 1
1551267921.407143, 2
1551267921.576114, 3
1551267921.690502, 0
1551267921.793307, 1
1551267922.230753, 2
1551267922.341363, 3
1551267922.419158, 0
1551267922.509888, 1
