beat,each_beat,borch,phase
77.0,-1.2661660176924343,3.3582022190093994,0.037471165313682775
78.0,-0.9795638017119721,3.619720935821533,0.015025089537193281
79.0,-0.79033199293238,3.8007190227508545,-0.009945337974091473
80.0,-0.7441219900892797,3.8857078552246094,-0.025724193002954365
81.0,-0.7643711473835779,3.8514299392700195,-0.012431960159769773
82.0,-0.7538130630868594,3.768632173538208,-0.012798156173946751
83.0,-0.853537702699569,3.727091073989868,0.004397387372812034
84.0,-0.9945655374832398,3.737591028213501,-0.010800752572833971
85.0,-1.0996710429465324,3.8059780597686768,-0.013405831572701032
86.0,-1.1716167210181894,3.9232430458068848,0.00040337043433780195
87.0,-1.4117396711375925,4.003766059875488,0.013189780724985667
88.0,-1.4721434416176677,4.094851016998291,0.019246733319459253
89.0,-1.4972045971106809,4.26810097694397,0.047346435988938396
90.0,-1.3834282845854275,4.385644912719727,0.020898947675931367
91.0,-1.1003837925835604,4.521020889282227,0.03888346481029359
92.0,-0.8127196632808449,4.565939903259277,-0.019033690460172892
93.0,-0.7595709604989906,4.425144195556641,-0.0023798414020106406
94.0,-1.0226169596664008,4.291779041290283,-0.06117460263381247
95.0,-1.1170380735346939,4.286527872085571,-0.04722887701922218
96.0,-0.9175813282557641,4.448486089706421,-0.0335386603356298
97.0,-0.7110281173664106,4.615783929824829,-0.04051491226915971
98.0,-0.6384780406951904,4.634391784667969,-0.06203794479370117
99.0,-1.0826864949927426,4.648952960968018,-0.055287498642819344
100.0,-1.0757711226264988,4.790004014968872,-0.0252671984878603
101.0,-0.8619575084531448,4.863195896148682,-0.05601397075324854
102.0,-0.7073674208182581,4.848984003067017,-0.044175855318627555
103.0,-0.5994875787833465,4.763154983520508,-0.0500234175527865
104.0,-1.3221076955499882,4.650735139846802,-0.04057184214944698
105.0,-1.3465723020957938,4.620193958282471,-0.01667547317415341
106.0,-1.2287937499959796,4.547738075256348,-0.019232758028273622
107.0,-1.0653795883294492,4.4724061489105225,-0.014345744076869948
108.0,-0.9247355525290786,4.376302003860474,-0.03262583842354161
109.0,-0.8502611520108658,4.205310106277466,-0.04167683816160661
110.0,-1.3704327441733852,4.098854064941406,-0.04099739015399706
111.0,-1.3905023645428116,4.062700033187866,-0.3264226543920472
112.0,-1.2088385687202177,4.1931540966033936,-0.33705828871084265
113.0,-1.2547885178581097,4.302539110183716,-0.25860590894891544
114.0,-1.4474372305498804,4.263458967208862,-0.23784730048582503
115.0,-1.5574519341977933,4.164316892623901,-0.23623075396503168
