time, palm_pos, vel, avg_vel, avg_vel_schm, avg_acc, avg_acc_schm
1542730326.189937, 166.639435, 105.896332, -11.979902, -20.000000, 767.142094, 767.142094
1542730326.195251, 166.639435, 105.896332, -4.074613, -20.000000, 790.528841, 790.528841
1542730326.200588, 167.767044, 85.147385, 3.940133, 20.000000, 801.474582, 801.474582
1542730326.205902, 167.767044, 85.147385, 12.056798, 20.000000, 811.666538, 811.666538
1542730326.211371, 167.767044, 85.147385, 20.191052, 20.191052, 813.425358, 813.425358
1542730326.216807, 167.767044, 85.147385, 28.265872, 28.265872, 807.482044, 807.482044
1542730326.222625, 168.700226, 69.225716, 36.216833, 36.216833, 795.096137, 795.096137
1542730326.227854, 168.700226, 69.225716, 43.962624, 43.962624, 774.579027, 774.579027
1542730326.233081, 168.700226, 69.225716, 51.433106, 51.433106, 747.048204, 747.048204
1542730326.238430, 168.700226, 69.225716, 58.562531, 58.562531, 712.942527, 712.942527
1542730326.243753, 169.178619, 48.880901, 65.234355, 65.234355, 667.182417, 667.182417
1542730326.249461, 169.178619, 48.880901, 71.477801, 71.477801, 624.344603, 624.344603
1542730326.255224, 169.178619, 48.880901, 77.215506, 77.215506, 573.770469, 573.770469
1542730326.260603, 169.381561, 31.016171, 82.357377, 82.357377, 514.187074, 514.187074
1542730326.265872, 169.381561, 31.016171, 86.904416, 86.904416, 454.703954, 454.703954
1542730326.271370, 169.381561, 31.016171, 90.841942, 90.841942, 393.752597, 393.752597
1542730326.277238, 169.371765, 16.022741, 94.110154, 94.110154, 326.821210, 326.821210
1542730326.282446, 169.371765, 16.022741, 96.740185, 96.740185, 263.003099, 263.003099
1542730326.287822, 169.371765, 16.022741, 98.699843, 98.699843, 195.965736, 195.965736
1542730326.293211, 169.200882, 3.912863, 99.990776, 99.990776, 129.093373, 150.000000
1542730326.299603, 169.200882, 3.912863, 100.660696, 100.660696, 66.991997, 150.000000
1542730326.304978, 169.200882, 3.912863, 100.632694, 100.632694, -2.800187, -150.000000
1542730326.310342, 168.451004, -17.666178, 99.966314, 99.966314, -66.638043, -150.000000
1542730326.315716, 168.451004, -17.666178, 98.682182, 98.682182, -128.413243, -150.000000
1542730326.321847, 168.451004, -17.666178, 96.875656, 96.875656, -180.652551, -180.652551
1542730326.327188, 168.451004, -17.666178, 94.584394, 94.584394, -229.126230, -229.126230
1542730326.332967, 166.423401, -62.530766, 91.669336, 91.669336, -291.505784, -291.505784
1542730326.338296, 166.423401, -62.530766, 88.351994, 88.351994, -331.734178, -331.734178
1542730326.343691, 166.423401, -62.530766, 84.672922, 84.672922, -367.907253, -367.907253
1542730326.349504, 163.222824, -112.556999, 80.431506, 80.431506, -424.141609, -424.141609
1542730326.354744, 163.222824, -112.556999, 75.902571, 75.902571, -452.893472, -452.893472
1542730326.360062, 163.222824, -112.556999, 71.117026, 71.117026, -478.554491, -478.554491
1542730326.365431, 163.222824, -112.556999, 66.108846, 66.108846, -500.817970, -500.817970
1542730326.370713, 160.409744, -138.885376, 60.707337, 60.707337, -540.150942, -540.150942
1542730326.376900, 160.409744, -138.885376, 55.137231, 55.137231, -557.010562, -557.010562
1542730326.382705, 160.409744, -138.885376, 49.420025, 49.420025, -571.720605, -571.720605
1542730326.387953, 157.548080, -148.352829, 43.393159, 43.393159, -602.686596, -602.686596
1542730326.393223, 157.548080, -148.352829, 37.244921, 37.244921, -614.823808, -614.823808
1542730326.399089, 157.548080, -148.352829, 30.984440, 30.984440, -626.048157, -626.048157
1542730326.404870, 154.511642, -157.494019, 24.479934, 24.479934, -650.450574, -650.450574
1542730326.410221, 154.511642, -157.494019, 17.869616, 20.000000, -661.031810, -661.031810
1542730326.415419, 154.511642, -157.494019, 11.154440, 20.000000, -671.517604, -671.517604
1542730326.420819, 151.785156, -154.690170, 4.344931, 20.000000, -680.950892, -680.950892
1542730326.426238, 151.785156, -154.690170, -2.565582, -20.000000, -691.051254, -691.051254
1542730326.431525, 151.785156, -154.690170, -9.566401, -20.000000, -700.081882, -700.081882
1542730326.437346, 151.785156, -154.690170, -16.648771, -20.000000, -708.237015, -708.237015
1542730326.442613, 150.171417, -123.562630, -23.635390, -23.635390, -698.661962, -698.661962
1542730326.448880, 150.171417, -123.562630, -30.665924, -30.665924, -703.053381, -703.053381
1542730326.454180, 150.171417, -123.562630, -37.711655, -37.711655, -704.573115, -704.573115
1542730326.459970, 149.481598, -82.936417, -44.545391, -44.545391, -683.373542, -683.373542
1542730326.465625, 149.481598, -82.936417, -51.317922, -51.317922, -677.253101, -677.253101
1542730326.471435, 149.481598, -82.936417, -57.981579, -57.981579, -666.365725, -666.365725
1542730326.476693, 149.344849, -47.119171, -64.330976, -64.330976, -634.939682, -634.939682
1542730326.482145, 149.344849, -47.119171, -70.467422, -70.467422, -613.644609, -613.644609
1542730326.487382, 149.344849, -47.119171, -76.334614, -76.334614, -586.719191, -586.719191
1542730326.492663, 149.650558, -16.692450, -81.795813, -81.795813, -546.119960, -546.119960
1542730326.498468, 149.650558, -16.692450, -86.837087, -86.837087, -504.127361, -504.127361
1542730326.504164, 149.650558, -16.692450, -91.448358, -91.448358, -461.127103, -461.127103
1542730326.509353, 149.650558, -16.692450, -95.582044, -95.582044, -413.368618, -413.368618
1542730326.514776, 151.385345, 36.849361, -99.049723, -99.049723, -346.767848, -346.767848
1542730326.520597, 151.385345, 36.849361, -101.900922, -101.900922, -285.119915, -285.119915
1542730326.526393, 154.949631, 113.004486, -103.938545, -103.938545, -203.762350, -203.762350
1542730326.531741, 154.949631, 113.004486, -105.328670, -105.328670, -139.012421, -150.000000
1542730326.537253, 154.949631, 113.004486, -105.976783, -105.976783, -64.811383, -150.000000
1542730326.543706, 154.949631, 113.004486, -105.895284, -105.895284, 8.149991, 150.000000
1542730326.550625, 154.949631, 113.004486, -105.058501, -105.058501, 83.678205, 150.000000
1542730326.556342, 159.528961, 179.677460, -103.224907, -103.224907, 183.359427, 183.359427
1542730326.561780, 159.528961, 179.677460, -100.605002, -100.605002, 261.990518, 261.990518
1542730326.567055, 163.492081, 198.511215, -97.136051, -97.136051, 346.895055, 346.895055
1542730326.572849, 163.492081, 198.511215, -92.834300, -92.834300, 430.175187, 430.175187
1542730326.578385, 163.492081, 198.511215, -87.739471, -87.739471, 509.482831, 509.482831
1542730326.583680, 163.492081, 198.511215, -81.870123, -81.870123, 586.934794, 586.934794
1542730326.588852, 166.747299, 189.867004, -75.218792, -75.218792, 665.133184, 665.133184
