time,phase_from_reg,phase_for_plbck,plbck_pos
1548007159.426782, 41.743846, 24.370140, 24.370140
1548007159.485009, 43.141660, 25.767954, 25.767954
1548007159.573771, 44.737513, 27.363807, 27.363807
1548007159.675865, 46.069769, 28.696063, 28.696063
1548007159.786563, 47.237751, 29.864045, 29.864045
1548007159.865564, 48.546736, 31.173030, 31.173030
1548007159.949045, 49.815094, 32.441388, 32.441388
1548007160.034875, 51.303619, 33.929913, 33.929913
1548007160.116386, 52.529965, 35.156259, 35.156259
1548007160.228773, 53.914547, 36.540841, 36.540841
1548007160.334619, 55.147920, 37.774214, 37.774214
1548007160.417282, 56.099985, 38.726279, 38.726279
1548007160.499556, 57.137625, 39.763919, 39.763919
1548007160.580820, 57.934992, 40.561286, 40.561286
1548007160.669157, 58.959556, 41.585850, 41.585850
1548007160.757425, 60.001337, 42.627631, 42.627631
1548007160.859778, 61.109976, 43.736270, 43.736270
1548007160.950918, 61.970684, 44.596978, 44.596978
1548007161.048638, 63.120855, 45.747149, 45.747149
1548007161.141305, 64.060788, 46.687082, 46.687082
1548007161.222804, 64.733095, 47.359389, 47.359389
1548007161.304499, 65.492884, 48.119178, 48.119178
1548007161.383409, 66.193330, 48.819624, 48.819624
1548007161.488557, 66.776359, 49.402653, 49.402653
1548007161.580001, 66.776359, 49.402653, 49.402653
1548007161.671695, 67.269518, 49.895812, 49.895812
1548007161.762781, 68.016747, 50.643041, 50.643041
1548007161.858530, 68.877835, 51.504129, 51.504129
1548007161.946475, 70.089748, 52.716042, 52.716042
1548007162.103998, 72.096883, 54.723177, 54.723177
1548007162.134478, 72.109460, 54.735754, 54.735754
1548007162.218223, 72.119065, 54.745359, 54.745359
1548007162.307847, 72.132450, 54.758744, 54.758744
1548007162.417762, 72.151504, 54.777798, 54.777798
1548007162.512557, 72.151504, 54.777798, 54.777798
1548007162.597029, 72.151504, 54.777798, 54.777798
1548007162.668434, 72.151504, 54.777798, 54.777798
1548007162.770234, 72.790366, 55.416660, 55.416660
1548007162.862956, 74.152964, 56.779258, 56.779258
1548007162.969682, 74.818654, 57.444948, 57.444948
1548007163.038477, 75.714362, 58.340656, 58.340656
1548007163.246646, 78.437704, 61.063998, 61.063998
1548007163.302321, 78.477458, 61.103752, 61.103752
1548007163.452412, 78.477458, 61.103752, 61.103752
1548007163.529187, 78.477458, 61.103752, 61.103752
1548007163.729561, 78.477458, 61.103752, 61.103752
1548007163.743944, 78.477458, 61.103752, 61.103752
1548007163.810328, 78.477458, 61.103752, 61.103752
1548007163.907618, 78.814127, 61.440421, 61.440421
1548007163.974801, 80.438103, 63.064397, 63.064397
1548007164.059839, 81.396931, 64.023225, 64.023225
1548007164.144828, 82.662447, 65.288741, 65.288741
1548007164.237873, 83.522119, 66.148413, 66.148413
1548007164.332029, 84.357564, 66.983858, 66.983858
1548007164.415505, 85.227544, 67.853838, 67.853838
1548007164.523124, 86.107301, 68.733595, 68.733595
1548007164.642708, 86.986800, 69.613094, 69.613094
1548007164.740046, 87.863983, 70.490277, 70.490277
1548007164.825373, 88.729549, 71.355843, 71.355843
1548007164.898748, 89.545804, 72.172098, 72.172098
1548007164.995231, 90.556899, 73.183193, 73.183193
1548007165.076037, 91.497496, 74.123790, 74.123790
1548007165.167853, 92.771980, 75.398274, 75.398274
1548007165.251913, 93.799679, 76.425974, 76.425974
1548007165.347503, 95.058509, 77.684803, 77.684803
