time, a_x, a_y, a_z, g_x, g_y, g_z, deltat 
1574112032, -326, -430, 1729, -37, 24, -78, 0.013453
1574112032, -319, -377, 1682, -71, 14, -83, 0.013442
1574112032, -384, -380, 1693, -6, -129, -107, 0.013415
1574112032, -379, -342, 1674, 3, -168, -80, 0.013427
1574112032, -254, -245, 1665, -387, -221, -118, 0.013453
1574112032, -175, -278, 1687, -246, -122, -81, 0.013452
1574112032, -176, -267, 1407, -157, -51, -51, 0.013676
1574112032, -137, -266, 1569, -188, 59, -45, 0.013423
1574112032, -151, -248, 1721, -153, 81, -59, 0.013451
1574112032, -232, -329, 1836, 73, 46, -66, 0.013419
1574112032, -257, -271, 1875, 155, -29, -57, 0.013433
1574112032, -170, -216, 1751, 105, -85, -65, 0.013415
1574112032, -128, -269, 1791, -1, -44, -41, 0.013474
1574112032, -111, -276, 1731, 77, 93, -7, 0.013649
1574112032, -156, -299, 1818, 145, -50, -90, 0.013440
1574112032, -111, -280, 1690, 217, -88, -118, 0.013485
1574112032, -57, -298, 1703, 191, -88, -145, 0.013478
1574112032, -79, -345, 1717, 113, -52, -177, 0.013446
1574112032, -98, -427, 1718, 88, -16, -178, 0.013415
1574112032, -129, -509, 1804, 175, -98, -169, 0.013439
1574112032, -107, -594, 1819, 342, -232, -190, 0.013464
1574112032, -47, -570, 1701, 475, -295, -177, 0.013668
1574112032, -11, -602, 1667, 391, -360, -154, 0.013420
1574112032, 49, -615, 1593, 348, -216, -110, 0.013455
1574112032, 125, -659, 1556, 264, -164, -115, 0.013415
1574112032, 166, -743, 1608, 278, -107, -172, 0.013436
1574112032, 133, -754, 1655, 216, -64, -228, 0.013412
1574112032, -60, -850, 1911, 255, -190, -223, 0.013477
1574112032, -142, -799, 1858, 232, -286, -153, 0.013640
1574112032, -145, -835, 1919, 194, -266, -11, 0.013437
1574112032, -107, -937, 2168, 251, -337, 45, 0.013458
1574112032, -108, -944, 2108, 393, -459, 114, 0.013418
1574112032, -31, -1005, 2224, 505, -596, 174, 0.013439
1574112032, -7, -922, 2218, 573, -628, 234, 0.013422
1574112032, -14, -953, 2508, 517, -996, 272, 0.013436
1574112032, 139, -891, 2421, 539, -1383, 245, 0.013501
1574112032, 434, -704, 1910, 694, -1241, 215, 0.013711
1574112032, 536, -409, 1527, 692, -578, 160, 0.013435
1574112032, 410, -226, 1486, 472, 121, 93, 0.013462
1574112032, 175, -101, 1288, 188, 557, 23, 0.013421
1574112032, -68, -84, 1592, -216, 583, -56, 0.013440
1574112032, -339, -6, 1540, -296, 297, -127, 0.013418
1574112032, -435, 22, 1487, -431, -18, -43, 0.013430
1574112032, -378, 79, 1624, -510, -274, 109, 0.013471
1574112032, -192, 92, 1733, -505, -490, 174, 0.013650
