time, roll, pitch, heading 
1574070987.425569, 0.270569, -4.307553, 0.000000
1574070987.439569, 0.997336, -4.892796, 0.000000
1574070987.452557, 0.068094, -4.817725, 0.000000
1574070987.465702, 0.927993, -4.414910, 0.000000
1574070987.478590, 0.114224, -3.982919, 0.000000
1574070987.492826, 0.676055, -4.717215, 0.000000
1574070987.505825, -0.236266, -4.727971, 0.000000
1574070987.518991, 0.620523, -4.316269, 0.000000
1574070987.536664, 0.596783, -3.337355, 0.000000
1574070987.547293, 0.259957, -4.168546, 0.000000
1574070987.559258, 1.014672, -4.712972, 0.000000
1574070987.572317, 0.112211, -4.640861, 0.000000
1574070987.585569, 1.037920, -4.438864, 0.000000
1574070987.600079, 0.238895, -4.857450, 0.000000
1574070987.613233, 0.783591, -4.085836, 0.000000
1574070987.628746, 0.351809, -4.887630, 0.000000
1574070987.640779, 1.002552, -4.196850, 0.000000
1574070987.653923, 0.657253, -5.043652, 0.000000
1574070987.666057, 0.070833, -4.324307, 0.000000
1574070987.682932, 1.007680, -4.454947, 0.000000
1574070987.693527, 0.208307, -4.890652, 0.000000
1574070987.706777, 0.924899, -4.255420, 0.000000
1574070987.719973, 0.012450, -4.267270, 0.000000
1574070987.733176, 0.594612, -4.972868, 0.000000
1574070987.747524, 1.516105, -5.224224, 0.000000
1574070987.760833, 0.716515, -4.756230, 0.000000
1574070987.773945, 0.730886, -3.801187, 0.000000
1574070987.787119, 0.281331, -4.578723, 0.000000
1574070987.800484, 0.440775, -3.691928, 0.000000
1574070987.814733, -0.323784, -4.196164, 0.000000
1574070987.832663, 0.593304, -3.990073, 0.000000
1574070987.843420, 0.296258, -4.854169, 0.000000
1574070987.854211, 1.258085, -4.801276, 0.000000
1574070987.867497, 0.413100, -4.427891, 0.000000
1574070987.880807, 0.575969, -5.330441, 0.000000
1574070987.895179, 0.297929, -4.439662, 0.000000
1574070987.907023, 0.763130, -5.232278, 0.000000
1574070987.921209, 1.057867, -4.328346, 0.000000
1574070987.935649, 1.679986, -5.036450, 0.000000
1574070987.947541, 0.825116, -4.635461, 0.000000
1574070987.961833, -0.108078, -4.562800, 0.000000
1574070987.974822, 0.827048, -4.594372, 0.000000
1574070987.989005, 0.097593, -5.160614, 0.000000
1574070988.002175, 0.604601, -4.402965, 0.000000
1574070988.014937, 0.536937, -3.394238, 0.000000
1574070988.028022, 0.282485, -4.236562, 0.000000
1574070988.042129, 0.373927, -5.019390, 0.000000
1574070988.055489, 0.001140, -4.103602, 0.000000
1574070988.069591, -0.341602, -3.275945, 0.000000
1574070988.082730, 0.415860, -4.104243, 0.000000
1574070988.095927, 0.416697, -5.245599, 0.000000
1574070988.108940, 0.414571, -4.504934, 0.000000
1574070988.123109, -0.327320, -4.226898, 0.000000
1574070988.142132, 0.514134, -4.868717, 0.000000
1574070988.149474, 1.076730, -5.858243, 0.000000
1574070988.162663, 0.679868, -5.187610, 0.000000
1574070988.175693, 0.250869, -6.049116, 0.000000
1574070988.189898, -0.583470, -6.279462, 0.000000
1574070988.203125, 0.396488, -6.788964, 0.000000
1574070988.216249, 0.831843, -6.255336, 0.000000
1574070988.229214, 1.410310, -5.654579, 0.000000
1574070988.244460, 0.699346, -5.653831, 0.000000
1574070988.257303, 1.769732, -6.041869, 0.000000
1574070988.270278, 2.037457, -7.004827, 0.000000
1574070988.284526, 1.973155, -7.786879, 0.000000
1574070988.296553, 2.671776, -6.879947, 0.000000
1574070988.310712, 3.232801, -5.832846, 0.000000
1574070988.323729, 4.187609, -5.014777, 0.000000
1574070988.337024, 5.098486, -5.864194, 0.000000
1574070988.363814, 4.760451, -6.670987, 0.000000
1574070988.365335, 5.140414, -7.765323, 0.000000
1574070988.376958, 5.158967, -6.965624, 0.000000
1574070988.390993, 5.634210, -6.062274, 0.000000
1574070988.404339, 6.698608, -5.431322, 0.000000
1574070988.417631, 8.029423, -5.795378, 0.000000
1574070988.430518, 7.614157, -5.816408, 0.000000
1574070988.448247, 7.925758, -6.926955, 0.000000
1574070988.457844, 8.384766, -8.038297, 0.000000
1574070988.470965, 9.051053, -7.333940, 0.000000
1574070988.488855, 9.270686, -8.480974, 0.000000
1574070988.499644, 9.762575, -9.662048, 0.000000
1574070988.511527, 10.720094, -9.206555, 0.000000
1574070988.524539, 10.258214, -9.616590, 0.000000
1574070988.538872, 11.496951, -9.371799, 0.000000
1574070988.552093, 11.665709, -10.600255, 0.000000
1574070988.565207, 12.826498, -11.562241, 0.000000
1574070988.578288, 12.446379, -12.372497, 0.000000
1574070988.592120, 13.055613, -11.731854, 0.000000
1574070988.608802, 14.477353, -12.193881, 0.000000
1574070988.619590, 14.388442, -11.792781, 0.000000
1574070988.631518, 14.849827, -12.850659, 0.000000
1574070988.645606, 15.045718, -13.849935, 0.000000
1574070988.660975, 16.143587, -13.299607, 0.000000
1574070988.672667, 17.639557, -13.594593, 0.000000
1574070988.685745, 18.952446, -13.255544, 0.000000
1574070988.698898, 18.762093, -13.774673, 0.000000
1574070988.712925, 18.799429, -14.623749, 0.000000
