time, a_x, a_y, a_z, g_x, g_y, g_z, deltat 
1574070987.516823, 0.068359, 0.007812, 0.893066, 1.037598, 0.915527, -3.967285, 0.013371
1574070987.535718, 0.043457, 0.008301, 0.851562, 1.037598, 3.845215, -4.028320, 0.013411
1574070987.545284, 0.088379, -0.008789, 0.807129, 1.708984, 2.807617, -3.906250, 0.013616
1574070987.558393, 0.084473, 0.025391, 0.944824, 0.061035, 0.427246, -3.845215, 0.013414
1574070987.571476, 0.071777, -0.002930, 0.886230, 1.525879, 0.610352, -4.028320, 0.013363
1574070987.584721, 0.067383, 0.014160, 0.861328, 0.671387, 1.220703, -4.028320, 0.013389
1574070987.599120, 0.075684, 0.002930, 0.883789, 1.098633, 1.525879, -3.784180, 0.013363
1574070987.611349, 0.067871, 0.008789, 0.885742, 0.915527, 0.610352, -4.028320, 0.013395
1574070987.628042, 0.072754, 0.007324, 0.894043, 0.976562, 0.488281, -3.967285, 0.013361
1574070987.639887, 0.068359, 0.010254, 0.861816, 0.915527, 0.854492, -3.967285, 0.013396
1574070987.652981, 0.076172, 0.009277, 0.852051, 0.854492, 1.586914, -3.845215, 0.013601
1574070987.665254, 0.071289, 0.003418, 0.900879, 0.732422, 0.732422, -4.028320, 0.013416
1574070987.678325, 0.068848, 0.011719, 0.889160, 0.793457, 0.549316, -3.906250, 0.013415
1574070987.692635, 0.075195, 0.001953, 0.868652, 0.488281, 1.342773, -4.089355, 0.013372
1574070987.705930, 0.074707, 0.004395, 0.885254, 1.159668, 1.586914, -3.967285, 0.013381
1574070987.718972, 0.066406, 0.009766, 0.890137, 0.854492, 1.586914, -4.211426, 0.013358
1574070987.732522, 0.073730, 0.006348, 0.879883, 0.915527, 2.319336, -3.967285, 0.013414
1574070987.746825, 0.078613, 0.014160, 0.886719, 0.549316, 0.793457, -4.028320, 0.013614
1574070987.758814, 0.067871, -0.001465, 0.895020, 0.854492, 1.342773, -3.906250, 0.013413
1574070987.773124, 0.066406, 0.010742, 0.858398, 0.671387, 2.258301, -4.150391, 0.013367
1574070987.786364, 0.076172, 0.000977, 0.877441, 0.610352, 1.892090, -3.967285, 0.013378
1574070987.799532, 0.053711, 0.007324, 0.909180, 1.342773, -2.075195, -4.028320, 0.013367
1574070987.812819, 0.063477, -0.003906, 0.877441, 1.037598, -0.244141, -4.089355, 0.013385
1574070987.825982, 0.061523, 0.016113, 0.903809, 0.549316, 0.183105, -4.028320, 0.013361
1574070987.842446, 0.075684, 0.004395, 0.890625, 0.854492, 0.610352, -3.967285, 0.013399
1574070987.852160, 0.073730, 0.015137, 0.873535, 0.793457, 0.793457, -4.028320, 0.013616
1574070987.865574, 0.068359, 0.004395, 0.890625, 0.549316, 0.793457, -4.028320, 0.013391
1574070987.879913, 0.074219, 0.007324, 0.879395, 0.793457, 0.732422, -3.906250, 0.013385
1574070987.893244, 0.071289, 0.005371, 0.877441, 0.427246, 0.976562, -3.845215, 0.013361
1574070987.906319, 0.073242, 0.006836, 0.892090, 0.793457, 1.220703, -3.601074, 0.013391
1574070987.920416, 0.071289, 0.015137, 0.890137, 0.488281, 1.708984, -3.784180, 0.013374
1574070987.934749, 0.256836, 0.179688, 0.892578, 1.281738, -0.610352, 2.563477, 0.013382
1574070987.946636, 0.054688, -0.015137, 0.820312, 0.976562, 2.014160, 15.380859, 0.013407
1574070987.959819, 0.068359, -0.043945, 0.870117, 1.098633, 2.685547, 0.976562, 0.013627
1574070987.974072, 0.072754, 0.013184, 0.900391, 0.549316, 1.770020, 0.305176, 0.013369
1574070987.988340, 0.083008, 0.001465, 0.910156, -1.037598, 2.319336, 3.845215, 0.013379
1574070988.000134, 0.041016, 0.036133, 0.918457, -5.920410, 3.417969, 4.455566, 0.013357
1574070988.014222, 0.033203, 0.012207, 0.905273, -9.704590, 6.530762, 5.737305, 0.013367
1574070988.027361, 0.107422, 0.004883, 0.884277, -14.526367, 6.103516, 2.929688, 0.013378
1574070988.041221, 0.112305, 0.017578, 0.875977, -11.657715, 8.056641, 2.929688, 0.013381
1574070988.053332, 0.042480, -0.011230, 0.872070, 3.601074, 5.371094, 0.976562, 0.013613
1574070988.066620, 0.017090, -0.030762, 0.916992, 10.986328, 3.295898, -8.605957, 0.013401
1574070988.081906, 0.117188, 0.048828, 0.937012, 10.803223, -9.155273, -6.774902, 0.013424
1574070988.094136, 0.101562, 0.001465, 0.888184, 9.094238, -16.723633, -0.488281, 0.013391
1574070988.108286, 0.053711, 0.004395, 0.931641, 5.065918, -13.549805, 0.488281, 0.013386
1574070988.121037, 0.055664, -0.032227, 0.856934, 10.986328, 0.427246, 0.610352, 0.013367
1574070988.140165, 0.095215, 0.016113, 0.950684, 17.211914, 4.333496, -2.746582, 0.013381
1574070988.148671, 0.108398, 0.021484, 0.900879, 14.831543, -10.253906, 0.366211, 0.013410
1574070988.161719, 0.071777, 0.004883, 0.865234, 9.887695, -8.117676, 2.746582, 0.013645
1574070988.174929, 0.093262, 0.003418, 0.903809, 6.347656, -6.652832, 4.150391, 0.013356
1574070988.189227, 0.100098, -0.015625, 0.907715, 5.920410, -3.784180, -0.427246, 0.013366
